topic,mod_spec,BIC,chisq,npar,rmsea,converged,nobs,type,BIC_diff,verdict
t57,AUM3,27100.76058548566,3.8700533449510064,7,0.016342404074803675,TRUE,3501,AUM,-8.576014847050828,AUM
t58,SDM1,26551.96369099204,6.287298958140049,6,0.017691429181656834,TRUE,3501,SDM,-2.374652182443242,SDM
t59,AUM3,26487.268402896894,12.685403096041668,7,0.039064691759324345,TRUE,3501,AUM,-91.99026673986737,AUM
t60,SDM1,10249.010559417717,5.676813446626153,6,0.015964391510743758,TRUE,3501,SDM,-8.004913650982417,SDM
t61,AUM3,28019.905986283324,3.169116913481458,7,0.012921648366147084,TRUE,3501,AUM,-17.144002606812137,AUM
t62,SDM1,25006.245873658117,12.22454204243582,6,0.029635736490167656,TRUE,3501,SDM,-0.35255576873532846,Inconclusive
t63,AUM3,26510.313692849915,15.423797202270979,7,0.04378512945077674,TRUE,3501,AUM,-623.86386385695,AUM
t64,SDM1,29666.8821759484,8.37028479407204,6,0.02261215616022959,TRUE,3501,SDM,-3.927553859870386,SDM
t65,AUM3,24386.89989584862,3.402483526294317,7,0.014152652104671938,TRUE,3501,AUM,-12.18695119818949,AUM
t66,AUM3,30473.964474006276,5.848662586319746,7,0.023444656054280984,TRUE,3501,AUM,-25.154711738861806,AUM
t67,AUM3,29043.358621097053,1.5269831529304285,7,0,TRUE,3501,AUM,-2.763237269151432,AUM
t68,AUM1,27768.27211345858,4.291398332277633,5,0.004561602940321467,TRUE,3501,AUM,-8.101637439329352,AUM
t69,AUM3,30007.411841125606,26.956644870111695,7,0.05970106057546097,TRUE,3501,AUM,-7.767535356095323,AUM
t70,AUM3,24711.254975858505,27.7907889922791,7,0.060690576227984204,TRUE,3501,AUM,-22.655470300458546,AUM
t71,SDM1,30249.58604427462,24.365477631392025,6,0.04510239667671993,TRUE,3501,SDM,-1.5972250908598653,Inconclusive
t72,SDM1,25586.255367102007,8.629034062431863,6,0.023150493620916878,TRUE,3501,SDM,-5.685210891428142,SDM
t73,AUM3,30736.80986263437,66.55517916534107,7,0.09601840604558362,TRUE,3501,AUM,-8.751980502260267,AUM
t74,AUM3,27495.806434477086,21.744227550050915,7,0.05310177284300776,TRUE,3501,AUM,-65.45550883690521,AUM
t75,AUM3,27626.98883195031,13.828149358437939,7,0.041100522854651454,TRUE,3501,AUM,-13.990409381432983,AUM
t76,AUM3,29522.50324894362,6.3990608018918325,7,0.025065070420753822,TRUE,3501,AUM,-9.598487303039292,AUM
t77,AUM1,22703.094689786816,3.9112108076140677,5,0,TRUE,3501,AUM,-42.34914238893907,AUM
t78,AUM3,23380.458281240357,62.11865557243389,7,0.09266027328745619,TRUE,3501,AUM,-30.206326655534212,AUM
t79,AUM3,26671.224344652503,3.430804123201019,7,0.014294831427527204,TRUE,3501,AUM,-4.024433440506982,AUM
t80,AUM3,-3019.612049939655,78.74855716420267,7,0.10469454568165136,TRUE,3501,AUM,-35.10936000685524,AUM
t81,AUM1,28092.576467593313,154.34348676463398,5,0.103613479456837,TRUE,3501,AUM,-9.597737426825915,AUM
t82,AUM3,28261.299324404416,181.73918825197163,7,0.16021764164793426,TRUE,3501,AUM,-83.47599991498282,AUM
t83,SDM1,23713.774622019766,22.347188812896245,6,0.042919262656844,TRUE,3501,SDM,-7.421971635776572,SDM
t84,AUM3,31879.49588800109,7.620776305463798,7,0.028332643535793386,TRUE,3501,AUM,-2.126266157691134,AUM
t85,AUM3,31214.443332008632,22.998216012219316,7,0.05476210660090291,TRUE,3501,AUM,-33.12450048984829,AUM
t86,AUM3,28215.109255501884,89.82589059160708,7,0.11199541103317076,TRUE,3501,AUM,-6.2705870138634054,AUM
t87,AUM3,21085.370561964668,6.3078014407955605,7,0.02480371801605765,TRUE,3501,AUM,-97.34449675404903,AUM
t88,SDM2,28986.368900446898,33.6387280596448,7,0.06721999171703939,TRUE,3501,SDM,-6.0084995722536405,SDM
t89,AUM3,33441.70544281427,50.15875259005648,7,0.08293284449882425,TRUE,3501,AUM,-37.40373515785177,AUM
t90,AUM3,26249.689507259005,12.616373662088533,7,0.03893830519252952,TRUE,3501,AUM,-21.45112744592916,AUM
t91,AUM3,24919.05153969163,23.856125701951964,7,0.055869596738773834,TRUE,3501,AUM,-1.9056520191625168,Inconclusive
t92,AUM3,21450.313567140205,184.59679183544176,7,0.16148623834560363,TRUE,3501,AUM,-13.659404223304591,AUM
t93,AUM3,21596.98318591053,2.9093192870606437,7,0.011395861126861542,TRUE,3501,AUM,-0.365801485699194,Inconclusive
t94,AUM3,24492.632146202457,3.4678045288327777,7,0.014478482931069061,TRUE,3501,AUM,-96.48531310151157,AUM
t95,SDM1,27010.46878175327,12.381853880241618,6,0.029887366523903287,TRUE,3501,SDM,-8.140020658425783,SDM
t96,AUM1,17064.633161590446,16.14822353610802,5,0.02945305417889163,TRUE,3501,AUM,-4.16571085164469,AUM
t97,SDM1,27410.43303231491,31.89479516287983,6,0.05245092206298693,TRUE,3501,SDM,-5.313580744248611,SDM
t98,AUM3,26739.236158982312,1.2222162926998468,7,0,TRUE,3501,AUM,-9.066383782021148,AUM
t99,SDM1,29906.99693540282,3.865715586140544,6,0.009078851980502572,TRUE,3501,SDM,-5.89215037052054,SDM
t100,SDM1,30439.405985728798,3.4411785127270336,6,0.006481126428607057,TRUE,3501,SDM,-6.162930017413601,SDM
t101,AUM4,26968.322309906976,63.23699721218636,8,0.13333011694083963,TRUE,3501,AUM,-77.10314968129023,AUM
t102,SDM1,32451.546388863182,4.0942492155345835,6,0.010207078133299862,TRUE,3501,SDM,-5.781692902310169,SDM
t103,SDM2,28389.799051468864,19.023454408320468,7,0.049307478356991966,TRUE,3501,SDM,-2.8507090505518136,SDM
t104,AUM3,29716.968837695076,27.73356578833574,7,0.060623210360703624,TRUE,3501,AUM,-27.42555518433801,AUM
t105,AUM3,12936.346176115248,62.19655907660367,7,0.09272028979087421,TRUE,3501,AUM,-60.94862811305575,AUM
t106,AUM3,16229.405048778595,7.061835018269454,7,0.02688703668734327,TRUE,3501,AUM,-28.075942486433632,AUM
t107,AUM3,26686.813019714136,0.6703157158869547,7,0,TRUE,3501,AUM,-13.027868963665242,AUM
t108,SDM1,25941.506715110718,2.9486270813109146,6,0,TRUE,3501,SDM,-7.986300717369886,SDM
t109,AUM3,27678.12704229952,20.953005092769775,7,0.05202690443442249,TRUE,3501,AUM,-24.720759682913922,AUM
t110,AUM3,23426.908871550553,38.16050403724007,7,0.0718631391860277,TRUE,3501,AUM,-11.914300663531321,AUM
t111,AUM3,23744.50726148791,5.0419034442063095,7,0.02084306865666192,TRUE,3501,AUM,-7.743048218279,AUM
t112,AUM3,32317.78757682782,2309.3985771114712,7,0.5740507081484825,TRUE,3501,AUM,-1526.9790931728749,AUM
t113,AUM4,26754.17049852792,23.1949016042838,8,0.07962153695566225,TRUE,3501,AUM,-0.9186831832957978,Inconclusive
t114,AUM3,26509.73040583161,74.11248427325211,7,0.10148320521950477,TRUE,3501,AUM,-18.695930346402747,AUM
t115,SDM2,28490.40666042681,78.19208261195878,7,0.10431430504796789,TRUE,3501,SDM,-1.0195470807884703,Inconclusive
