LIWCcat	birthyear	firstpub	age	r2	delta	bygran	fpgran	agegran
risk	0.017618153895507523	0.01146365191125378	0.009674422320219738	0.038756228126980874	0.6058136146212568	11	29	11
focuspast	0.026352349379841048	0.03583242201928585	0.0003138386182181421	0.062498610017344136	0.42377496591088293	21	13	50
focuspresent	0.0027687787616441427	0.002697978684746851	0.005118126247502374	0.010584883693894542	0.5064755092567745	21	15	17
focusfuture	0.016711066437944715	0.015195821849196942	0.013443847001336426	0.04535073528847855	0.5237447878826593	21	15	7
relativ	0.013465093614984313	0.010338170446831859	0.015065154914284326	0.03886841897610127	0.5656826551188936	29	15	5
motion	0.009618433502356053	0.0056022162803329644	0.014517127927494876	0.029737777710180047	0.631933172346915	29	21	5
space	0.02989102617713443	0.018532223525332396	0.013891573228064008	0.0623148229305287	0.6172866621054491	29	9	17
time	0.002812420222355238	0.0036047597357515286	0.0008319835031800298	0.00724916346128357	0.43826419715755865	25	17	21
work	0.0013532632567213702	0.0040916186163219926	0.004343174861205304	0.009788056734254313	0.24853858876555887	45	17	17
leisure	0.03714335966265981	0.030683929310881434	0.003067430691688178	0.07089471966522942	0.5476167516757019	13	11	13
home	0.011241366347832835	0.015446039246893481	0.0002616916846336201	0.026949097279361678	0.42122364828352726	29	13	11
money	0.007011666795879473	0.006945785908660541	0.004956164175274781	0.018913616879812856	0.5023600612738419	29	5	17
relig	0.0009016612951396088	0.0044398795691818664	2.446644257588012e-05	0.005366007306899401	0.16880172183315217	45	5	40
death	0.005188481116386229	0.009851672218826038	0.0013974377933302234	0.0164375911285376	0.3449752805537472	15	7	21
informal	0.0059267620139716115	0.007347487005952942	0.004555773101696009	0.017830022121621658	0.44648567350782586	35	11	4
swear	0.1055290702158546	0.08815282691917452	0.016448410306210224	0.21013030744123673	0.5448576856012668	17	5	5
netspeak	0.0029066531607863278	0.010079196571571473	0.0001058019058770027	0.013091651638234114	0.22383234217962691	25	17	25
assent	0.009349445694807787	0.005401844382846947	0.00018843253903408786	0.014939722616690743	0.6338052906281285	11	11	17
nonflu	0.011603472630302598	0.010856646183795471	0.002149022083600367	0.02460914089769506	0.5166256121058084	7	25	50
filler	0.03721756745187941	0.0309927652707644	0.002146854926882373	0.07035718764952736	0.5456294664799998	21	13	25
